category,subcategory,sku,image,status,name,featured,new_arrival,brand,quantity,Sample Price,Wholesale Price List 10 Items,Wholesale Price List 50 Items,Wholesale Price List 100 Items,Cost Price,short_description,description
Home & Office,Home Supplies,FPM270,FPM270,Enable,"Kenwood FPM270 MultiPro Compact Food Processor 28 functions , Silver",0,0,Kenwood,1000,5000,5000,5000,5000,5000,"Kenwood home appliances have a reputation for simplifying your kitchen chores. The Kenwood FPM270 MultiPro Compact Food Processor helps you do just that. Equipped with some amazing features, this food processor will soon become your favorite kitchen accessory. The appliance can be used for blending, kneading, juicing, and much more, making it the perfect kitchen assistant. Preparing that dinner quickly is so easy now, thanks to this fantastic appliance.","Kenwood home appliances have a reputation for simplifying your kitchen chores. The Kenwood FPM270 MultiPro Compact Food Processor helps you do just that. Equipped with some amazing features, this food processor will soon become your favorite kitchen accessory. The appliance can be used for blending, kneading, juicing, and much more, making it the perfect kitchen assistant. Preparing that dinner quickly is so easy now, thanks to this fantastic appliance.
Energy consumption: 750 Watts
Package weight in KGs: 4.06 KGs
Material: Plastic
Type #5700Food Processor"
Home & Office,Home Supplies,FP691,FP691,Enable,"Kenwood Food Processor, White - FP691",0,0,Kenwood,1000,5000,5000,5000,5000,5000,"The Kenwood FP691 Food Processor helps cut down on time spent on cooking. This food processor features a simple design that makes it easy to use on a daily basis. It boasts a compact overall size with one variable speed outlet for slow or high speed attachments. A 1.5L bowl lets you process large quantities of food in one go. You can use the 1.5L liquidizer container to make juices, smoothies, soups, purees, and milkshakes. The included multi mill lets you prepare curry pastes, chopped herbs as well as chopped nuts. You can use the stainless steel chopping blade to chop meat and vegetables, blend cake mixes, as well as to make delicious dips. The dough tool lets you make your own bread. This processor is designed with various built in failsafe mechanisms that actively as well as passively prevent messes and mishaps.","The Kenwood FP691 Food Processor helps cut down on time spent on cooking. This food processor features a simple design that makes it easy to use on a daily basis. It boasts a compact overall size with one variable speed outlet for slow or high speed attachments. A 1.5L bowl lets you process large quantities of food in one go. You can use the 1.5L liquidizer container to make juices, smoothies, soups, purees, and milkshakes. The included multi mill lets you prepare curry pastes, chopped herbs as well as chopped nuts. You can use the stainless steel chopping blade to chop meat and vegetables, blend cake mixes, as well as to make delicious dips. The dough tool lets you make your own bread. This processor is designed with various built in failsafe mechanisms that actively as well as passively prevent messes and mishaps.
Energy consumption: 900w
Package weight in KGs: -
Material: Plastic
Type #5700Food Processor"
Home & Office,Home Supplies,FP730,FP730,Enable,"Kenwood Food Processor - FP730, White",0,0,Kenwood,1000,5000,5000,5000,5000,5000,"Perfectly designed, the Kenwood Food Processor - FP730 is one of the most convenient and easy to use kitchen accessories available. It features a powerful 900W motor that gives you superb performance and great results. The Kenwood Multipro range has a simplistic design with versatile functionality and is a great help in the kitchen. This classic white and grey Kenwood Multipro Classic FP730 Food Processor fuses Kenwood's trusted performance and reliability with incredible value to give you an appliance that will make cooking more of a pleasure than a chore.","Perfectly designed, the Kenwood Food Processor - FP730 is one of the most convenient and easy to use kitchen accessories available. It features a powerful 900W motor that gives you superb performance and great results. The Kenwood Multipro range has a simplistic design with versatile functionality and is a great help in the kitchen. This classic white and grey Kenwood Multipro Classic FP730 Food Processor fuses Kenwood's trusted performance and reliability with incredible value to give you an appliance that will make cooking more of a pleasure than a chore.
Energy consumption: 900w
Package weight in KGs: 2.91kg
Material: Plastic
Type #5700Food Processor"
Home & Office,Home Supplies,FDM788,FDM788,Enable,Kenwood FDM788 Food Processor-1000 Watt-36 Functions- Silver?,0,0,Kenwood,1000,5000,5000,5000,5000,5000,"Body material: Brushed metal Bowl material: Plastic Serrated main knife blade Size (cm): 21,3 l x 38,7 h x 21,9 p Speed: Variable + Pulse Wattage: 1000W Weight: 5,4 kg Capacity - blender: 1.5L Glass Citrus press Dough tool Juice extractor Julienne disc Maxi-blend canopy Mill Mini bowl Rasping disc Reversible thick slice / coarse grate (4mm) disc Reversible thin slice / fine grate (2mm) disc Whisk twin geared Working bowl dry capacity : 1.5kg Working bowl liquid capacity : 1.5L","Body material: Brushed metal Bowl material: Plastic Serrated main knife blade Size (cm): 21,3 l x 38,7 h x 21,9 p Speed: Variable + Pulse Wattage: 1000W Weight: 5,4 kg Capacity - blender: 1.5L Glass Citrus press Dough tool Juice extractor Julienne disc Maxi-blend canopy Mill Mini bowl Rasping disc Reversible thick slice / coarse grate (4mm) disc Reversible thin slice / fine grate (2mm) disc Whisk twin geared Working bowl dry capacity : 1.5kg Working bowl liquid capacity : 1.5L
Energy consumption: 1000W
Package weight in KGs: 5.5 Kg
Material: Plastic
Type #5700Food Processor"
Home & Office,Home Supplies,FPM800,FPM800,Enable,Kenwood FPM800 Multipro Sense Food Processor,0,0,Kenwood,1000,5000,5000,5000,5000,5000,"The Kenwood FPM800 Multipro Sense Food Processor is a blessing in disguise for everyone who loves to cook. This device allows you to whisk up your favorite dishes in a quick and hassle free manner. The Kenwood food processor features a brushed die cast metal, which ensures strength and durability. Boasting a 1000W motor, this device is extremely efficient and performs all the functions with superior ease and speed. This device lets you quickly and efficiently chop, slice, whisk, and knead to help you make whatever you desire. Being dishwasher safe, it is very easy to clean and maintain this food processor. The non slip feet of this device provides a firm grip while cooking.","The Kenwood FPM800 Multipro Sense Food Processor is a blessing in disguise for everyone who loves to cook. This device allows you to whisk up your favorite dishes in a quick and hassle free manner. The Kenwood food processor features a brushed die cast metal, which ensures strength and durability. Boasting a 1000W motor, this device is extremely efficient and performs all the functions with superior ease and speed. This device lets you quickly and efficiently chop, slice, whisk, and knead to help you make whatever you desire. Being dishwasher safe, it is very easy to clean and maintain this food processor. The non slip feet of this device provides a firm grip while cooking.
Energy consumption: 1000W
Package weight in KGs: 12.6 KGs
Material: Metal
Type #5700Food Processor"
Home & Office,Home Supplies,JE290,JE290,Enable,Kenwood Je290 Citrus Juicer 40 Watt,0,0,Kenwood,1000,5000,5000,5000,5000,5000,"The JE290 citrus press gives efficient functional juicing of all types of citrus fruits, and has a sturdy elegant design and a strong long-lasting stainless steel filter. The reamer, filter, dust cover and the jug are all dishwasher safe, enabling quick and easy cleaning after juicing.","The JE290 citrus press gives efficient functional juicing of all types of citrus fruits, and has a sturdy elegant design and a strong long-lasting stainless steel filter. The reamer, filter, dust cover and the jug are all dishwasher safe, enabling quick and easy cleaning after juicing.
Color: White
Energy consumption: 60W
Package weight in KGs: 0.962kg
Material: Plastic
Type: Centrifugal
Capacity: 1L"
Home & Office,Home Supplies,Je297,Je297,Enable,"Kenwood Juicer - Stainless Steel Brushed, Je297",0,0,Kenwood,1000,5000,5000,5000,5000,5000,"Start your day with a freshly squeezed glass of juice from the Kenwood JE297 Juicer. It will give you a good amount of juice in the shortest span of time, effortlessly. The appliance looks sleek because of its unique, streamlined design. This juicer by Kenwood is powered by a 60W motor that does your job efficiently. It has a juice jug with a capacity of 1L, so you can make all the juice you need to keep your body healthy in just a single run. The extractor is available in a classic silver and black color that will complement any contemporary kitchen setting.","Start your day with a freshly squeezed glass of juice from the Kenwood JE297 Juicer. It will give you a good amount of juice in the shortest span of time, effortlessly. The appliance looks sleek because of its unique, streamlined design. This juicer by Kenwood is powered by a 60W motor that does your job efficiently. It has a juice jug with a capacity of 1L, so you can make all the juice you need to keep your body healthy in just a single run. The extractor is available in a classic silver and black color that will complement any contemporary kitchen setting.
Color: Multi Color
Energy consumption: 60W
Package weight in KGs: 0.96 Kg
Material: Plastic
Type: Centrifugal
Capacity: 1L"
Home & Office,Home Supplies,JE680,JE680,Enable,"Kenwood Continuous Juicer - White, JE680",0,0,Kenwood,1000,5000,5000,5000,5000,5000,"The Kenwood JE680 Continuous Juicer is loaded with multiple convenient features and is a must have in your kitchen for your day to day use. It hails from the stylish and modern True collection. Giving you the assurance of the Kenwood brand is the juicer’s glossy body, white plastic finish, and the highly efficient 700W motor. This continuous juicer can extract juices from fruits and vegetables in an instant and thus will prove to be a valuable addition to your kitchen.","The Kenwood JE680 Continuous Juicer is loaded with multiple convenient features and is a must have in your kitchen for your day to day use. It hails from the stylish and modern True collection. Giving you the assurance of the Kenwood brand is the juicer’s glossy body, white plastic finish, and the highly efficient 700W motor. This continuous juicer can extract juices from fruits and vegetables in an instant and thus will prove to be a valuable addition to your kitchen.
Color: White
Energy consumption: 700 Watts
Package weight in KGs: 3.71 Kg
Material: Plastic
Type: Centrifugal
Capacity: 1.5L"
Home & Office,Home Supplies,JE850,JE850,Enable,"kenwood Juice Extractor - JE850, Silver",0,0,Kenwood,1000,5000,5000,5000,5000,5000,"Designed for those who like their daily dose of healthy without any complications, this easy to use Kenwood JE850 Juicer is a must have for your kitchen. It is infused with Kenwood's latest Apex advanced pulp extraction technology that gives you more juice and less pulp. The juicer is made of stainless steel that makes it sturdy and durable. This magical machine has a wide tube that allows easy juicing of fruits and vegetables. The juice extractor is designed ergonomically and can be stored in small kitchen cabinets or counter tops as per your convenience.","Designed for those who like their daily dose of healthy without any complications, this easy to use Kenwood JE850 Juicer is a must have for your kitchen. It is infused with Kenwood's latest Apex advanced pulp extraction technology that gives you more juice and less pulp. The juicer is made of stainless steel that makes it sturdy and durable. This magical machine has a wide tube that allows easy juicing of fruits and vegetables. The juice extractor is designed ergonomically and can be stored in small kitchen cabinets or counter tops as per your convenience.
Color: Grey
Energy consumption: 1500 Watts
Package weight in KGs: 5.34 Kg
Material: Metal
Type: Centrifugal
Capacity: 3 L"
Home & Office,Home Supplies,JMP600,JMP600,Enable,kenwood PureJuice JMP600WH,0,0,Kenwood,1000,5000,5000,5000,5000,5000,PureJuice is Kenwood’s new Slow Press Juicer. An effortless way to engage in a healthier lifestyle through consuming 100% natural juice. ,"PureJuice is Kenwood’s new Slow Press Juicer. An effortless way to engage in a healthier lifestyle through consuming 100% natural juice. 
Color: White & grey
Energy consumption: 1500 Watts
Package weight in KGs: 4.48kg
Material: Plastic
Type: Centrifugal
Capacity: 1L"
Home & Office,Home Supplies,JMP601,JMP601,Enable,kenwood PureJuice JMP601WH,0,0,Kenwood,1000,5000,5000,5000,5000,5000,PureJuice is Kenwood’s new Slow Press Juicer. An effortless way to engage in a healthier lifestyle through consuming 100% natural juice. ,"PureJuice is Kenwood’s new Slow Press Juicer. An effortless way to engage in a healthier lifestyle through consuming 100% natural juice. 
Color: White & grey
Energy consumption: 150 Watts
Package weight in KGs: 4.48kg
Material: Plastic
Type: Centrifugal
Capacity: 1.3L"
Home & Office,Home Supplies,JMP800SI,JMP800SI,Enable,"Kenwood Plastic Centrifugal Juice Extractor,Silver - JMP800SI",0,0,Kenwood,1000,5000,5000,5000,5000,5000,The Kenwood JMP800SI Plastic Centrifugal Juice Extractor flaunts a body that is aesthetically designed with multiple features to meet your daily requirements. The juicer is made of plastic and brushed aluminum and sports a polished silver finish. It is incorporated with a powerful 240W motor that gives a superior performance overall. The multi functional appliance has a capacity of 1.5L that can accommodate a lot of liquids at once. You can store this Kenwood juice extractor in kitchen cabinets and countertops with ease.,"The Kenwood JMP800SI Plastic Centrifugal Juice Extractor flaunts a body that is aesthetically designed with multiple features to meet your daily requirements. The juicer is made of plastic and brushed aluminum and sports a polished silver finish. It is incorporated with a powerful 240W motor that gives a superior performance overall. The multi functional appliance has a capacity of 1.5L that can accommodate a lot of liquids at once. You can store this Kenwood juice extractor in kitchen cabinets and countertops with ease.
Color: Silver
Energy consumption: 240 W
Package weight in KGs: 7.1 Kg
Material: Plastic
Type: Centrifugal
Capacity: 1.5L"
Appliances,Cookers,3LMVWC100YW ,3LMVWC100YW ,Enable,WASHING - TOP LOADER,0,0,MAYTAG,1000,5000,5000,5000,5000,5000,"Basket Material White Porcelain
 Bleach Dispenser Dump Bleach
 Fabric Softener DispenserYes (inside agitator)
 Max Spin Speed 700
 Type of Agitator Dual Action Agitator (LoadFlex™) 
 Programs 8
 Options 7
 Type of Control Rotary Electromechanical 
Temperatures Cold Cool Warm Hot 
Water Levels Small Medium Super 
Programs Heavy Duty, Heavy Normal, Heavy Normal, Regular Casual Delicate Drain & Spin Rinse & Spin 
Spin Speed High Low
Soil Level Heavy Medium Light

 
","Basket Material White Porcelain
 Bleach Dispenser Dump Bleach
 Fabric Softener DispenserYes (inside agitator)
 Max Spin Speed 700
 Type of Agitator Dual Action Agitator (LoadFlex™) 
 Programs 8
 Options 7
 Type of Control Rotary Electromechanical 
Temperatures Cold Cool Warm Hot 
Water Levels Small Medium Super 
Programs Heavy Duty, Heavy Normal, Heavy Normal, Regular Casual Delicate Drain & Spin Rinse & Spin 
Spin Speed High Low
Soil Level Heavy Medium Light

 

Capacity: 3.04.
Color: Silver Metallic on White"
Appliances,Cookers,3LMEDC100YW ,3LMEDC100YW ,Enable,DRYER - AIR VENTED,0,0,MAYTAG,1000,5000,5000,5000,5000,5000,"Dryer Temperatures 3 (in timer
 Dry System auto dry
 Time Dry Minutes 70 
 Wrinkle prevent 40 in timer 
 N° of Programs 14
 Options 2 
Type of Control Rotary - Electromechanical 
 Temperatures Air Fluff (in timer) Low (in timer) High (in timer
Automatic Programs Automatic Dry Very Dry Energy Preferred Less Dry Cool Down Cool Down 
Manual Programs (Air Dry) Timed Dry Freshen Up 30 20 10 Cool Down
Manual Programs Timed Dry 30 20 10 Cool Down 
AirDry Timed Dry (no heat) 20 10

","Dryer Temperatures 3 (in timer
 Dry System auto dry
 Time Dry Minutes 70 
 Wrinkle prevent 40 in timer 
 N° of Programs 14
 Options 2 
Type of Control Rotary - Electromechanical 
 Temperatures Air Fluff (in timer) Low (in timer) High (in timer
Automatic Programs Automatic Dry Very Dry Energy Preferred Less Dry Cool Down Cool Down 
Manual Programs (Air Dry) Timed Dry Freshen Up 30 20 10 Cool Down
Manual Programs Timed Dry 30 20 10 Cool Down 
AirDry Timed Dry (no heat) 20 10


Capacity: 7.4.
Color: Silver Metallic on White"
Appliances,Cookers,MDW 2001 AGX,MDW 2001 AGX,Enable,"DISHWASHER
",0,0,MAYTAG,1000,5000,5000,5000,5000,5000,"Control panel Symbols + badge 
Type of Display 7 Segment / 1-24 h 
Number of place settings 13 
Number of programmes 6 
Sensor Intellisense 
EU Energy efficiency class A++ 
Water consumption (l) 10 L 
Noise level (dB(A) re 1 pW) 46
 Start delay Continuous
 Start delay time max. (h) 24 H 
Digital countdown indicator Yes 
Salt light indicator Yes 
Rinse aid light indicator Yes
 Powerclean option Yes 
Tablet option Yes 
Zone washing option Halfload 
Presence of water protection system Yes
 Water protection system description Electronic aquacontrol + floater 
Hinges Regular 
Cutlery basket Yes, dark grey + cover 
Lower rack 4 FOLDABLE AREA 
Upper rack FIXED, 2FLAPS + HANDLE CUBE 
Basket with handle Yes 
Adjustable upper rack Yes 
Adjustable upper basket Yes 
Filter HE1 + self cleaning + stainless steel 
Removable work top Yes
 End of cycle indicator Acoustic
","Control panel Symbols + badge 
Type of Display 7 Segment / 1-24 h 
Number of place settings 13 
Number of programmes 6 
Sensor Intellisense 
EU Energy efficiency class A++ 
Water consumption (l) 10 L 
Noise level (dB(A) re 1 pW) 46
 Start delay Continuous
 Start delay time max. (h) 24 H 
Digital countdown indicator Yes 
Salt light indicator Yes 
Rinse aid light indicator Yes
 Powerclean option Yes 
Tablet option Yes 
Zone washing option Halfload 
Presence of water protection system Yes
 Water protection system description Electronic aquacontrol + floater 
Hinges Regular 
Cutlery basket Yes, dark grey + cover 
Lower rack 4 FOLDABLE AREA 
Upper rack FIXED, 2FLAPS + HANDLE CUBE 
Basket with handle Yes 
Adjustable upper rack Yes 
Adjustable upper basket Yes 
Filter HE1 + self cleaning + stainless steel 
Removable work top Yes
 End of cycle indicator Acoustic

Capacity: -
Color: Inox"
Appliances,Cookers,MDW 1001 AGW,MDW 1001 AGW,Enable,MAYTAG004,0,0,MAYTAG,1000,5000,5000,5000,5000,5000,"Control panel English + symbols 
Type of Display 2-4-8 h 
Number of place settings 13 
Number of programmes 5 
EU Energy efficiency class A++ 
Water consumption (l) 10 L
 Noise level (dB(A) re 1 pW) 48 
Start delay One time fixed 
Start delay time max. (h) 8 H 
Salt light indicator Yes 
Rinse aid light indicator Yes 
Tablet option Yes
 Zone washing option Halfload 
Presence of water protection system Yes
 Water protection system description Electronic aquacontrol 
Hinges Regular 
Cutlery basket Yes, dark grey + cover 
Lower rack 2 FOLDABLE AREA 
Upper rack FIXED, 2FLAPS + HANDLE CUBE 
Basket with handle Yes Adjustable upper rack Yes 
Adjustable upper basket Yes Filter HE1 + self cleaning + stainless steel 
Removable work top Yes 
End of cycle indicator Acoustic
","Control panel English + symbols 
Type of Display 2-4-8 h 
Number of place settings 13 
Number of programmes 5 
EU Energy efficiency class A++ 
Water consumption (l) 10 L
 Noise level (dB(A) re 1 pW) 48 
Start delay One time fixed 
Start delay time max. (h) 8 H 
Salt light indicator Yes 
Rinse aid light indicator Yes 
Tablet option Yes
 Zone washing option Halfload 
Presence of water protection system Yes
 Water protection system description Electronic aquacontrol 
Hinges Regular 
Cutlery basket Yes, dark grey + cover 
Lower rack 2 FOLDABLE AREA 
Upper rack FIXED, 2FLAPS + HANDLE CUBE 
Basket with handle Yes Adjustable upper rack Yes 
Adjustable upper basket Yes Filter HE1 + self cleaning + stainless steel 
Removable work top Yes 
End of cycle indicator Acoustic

Capacity: -
Color: White"
